time,altitude,velocity
839.000000,2163.097557,1.354883
840.000000,2167.145423,1.353503
841.000000,2171.194092,1.352125
842.000000,2175.243555,1.350750
843.000000,2179.293802,1.349377
844.000000,2183.344824,1.348006
845.000000,2187.396611,1.346638
846.000000,2191.449154,1.345272
847.000000,2195.502443,1.343908
848.000000,2199.556470,1.342547
849.000000,2203.611225,1.341188
850.000000,2207.666698,1.339831
851.000000,2211.722881,1.338477
852.000000,2215.779764,1.337125
853.000000,2219.837337,1.335775
854.000000,2223.895592,1.334428
855.000000,2227.954519,1.333082
856.000000,2232.014110,1.331740
857.000000,2236.074354,1.330399
858.000000,2240.135242,1.329061
859.000000,2244.196766,1.327724
860.000000,2248.258916,1.326391
861.000000,2252.321683,1.325059
862.000000,2256.385058,1.323730
863.000000,2260.449031,1.322403
864.000000,2264.513594,1.321078
865.000000,2268.578737,1.319755
866.000000,2272.644452,1.318435
867.000000,2276.710728,1.317117
868.000000,2280.777558,1.315801
869.000000,2284.844931,1.314487
870.000000,2288.912839,1.313176
871.000000,2292.981272,1.311867
872.000000,2297.050223,1.310560
873.000000,2301.119681,1.309255
874.000000,2305.189637,1.307952
875.000000,2309.260083,1.306652
876.000000,2313.331010,1.305353
877.000000,2317.402408,1.304057
878.000000,2321.474269,1.302764
879.000000,2325.546583,1.301472
880.000000,2329.619342,1.300182
881.000000,2333.692537,1.298895
882.000000,2337.766158,1.297610
883.000000,2341.840197,1.296327
884.000000,2345.914645,1.295046
885.000000,2349.989494,1.293767
886.000000,2354.064733,1.292491
887.000000,2358.140354,1.291216
888.000000,2362.216349,1.289944
889.000000,2366.292708,1.288674
890.000000,2370.369423,1.287406
891.000000,2374.446484,1.286140
892.000000,2378.523884,1.284876
893.000000,2382.601613,1.283614
894.000000,2386.679662,1.282355
895.000000,2390.758023,1.281097
896.000000,2394.836687,1.279842
897.000000,2398.915645,1.278589
898.000000,2402.994889,1.277338
899.000000,2407.074409,1.276088
900.000000,2411.154197,1.274841
901.000000,2415.234244,1.273597
902.000000,2419.314542,1.272354
